Titles	Genres
The Impossible[(12, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Drama', 'History', 'Thriller']
Inglourious Basterds[(14, 0.5320000052452087), (4, 0.4090000092983246), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032)]	['Adventure', 'Drama', 'War']
Logan[(16, 0.45500001311302185), (15, 0.33899998664855957), (19, 0.13500000536441803), (0, 0.004000000189989805), (1, 0.004000000189989805)]	['Action', 'Drama', 'Sci-Fi', 'Thriller']
Spider-Man: Far from Home[(7, 0.32499998807907104), (11, 0.29600000381469727), (1, 0.14900000393390656), (4, 0.13199999928474426), (0, 0.006000000052154064)]	['Action', 'Adventure', 'Sci-Fi']
Back to the Future[(5, 0.3269999921321869), (19, 0.3230000138282776), (8, 0.17900000512599945), (7, 0.11900000274181366), (0, 0.003000000026077032)]	['Adventure', 'Comedy', 'Sci-Fi']
The Avengers[(10, 0.29600000381469727), (17, 0.20100000500679016), (20, 0.19499999284744263), (2, 0.14900000393390656), (18, 0.0949999988079071)]	['Action', 'Adventure', 'Sci-Fi']
Mad Max: Fury Road[(15, 0.6019999980926514), (18, 0.24300000071525574), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809)]	['Action', 'Adventure', 'Sci-Fi', 'Thriller']
Saving Private Ryan[(8, 0.8840000033378601), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Drama', 'War']
The Shining[(13, 0.6890000104904175), (0, 0.2150000035762787), (1, 0.004999999888241291), (2, 0.004999999888241291), (3, 0.004999999888241291)]	['Drama', 'Horror']
Blade Runner 2049[(12, 0.777999997138977), (5, 0.1379999965429306), (4, 0.004999999888241291), (9, 0.004999999888241291), (10, 0.004999999888241291)]	['Drama', 'Mystery', 'Sci-Fi', 'Thriller']
Forrest Gump[(11, 0.36800000071525574), (7, 0.367000013589859), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873)]	['Drama', 'Romance']
Iron Man[(17, 0.5690000057220459), (5, 0.023000000044703484), (9, 0.023000000044703484), (10, 0.023000000044703484), (15, 0.023000000044703484)]	['Action', 'Adventure', 'Sci-Fi']
The Lord of the Rings: The Fellowship of the Ring[(9, 0.6919999718666077), (0, 0.22300000488758087), (4, 0.004999999888241291), (5, 0.004999999888241291), (10, 0.004999999888241291)]	['Adventure', 'Drama', 'Fantasy']
Interstellar[(11, 0.8370000123977661), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Adventure', 'Drama', 'Sci-Fi']
The Wolf of Wall Street[(19, 0.34200000762939453), (14, 0.24699999392032623), (20, 0.164000004529953), (17, 0.09799999743700027), (12, 0.08500000089406967)]	['Biography', 'Crime', 'Drama']
The Little Mermaid[(15, 0.6420000195503235), (20, 0.23000000417232513), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837)]	['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']
American Psycho[(1, 0.5580000281333923), (6, 0.3569999933242798), (4, 0.004999999888241291), (5, 0.004999999888241291), (9, 0.004999999888241291)]	['Crime', 'Drama']
Ghostbusters[(16, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Action', 'Comedy', 'Fantasy']
X-Men: First Class[(15, 0.8849999904632568), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Action', 'Adventure', 'Sci-Fi']
Snatch[(6, 0.3440000116825104), (12, 0.18400000035762787), (4, 0.17900000512599945), (17, 0.17800000309944153), (0, 0.007000000216066837)]	['Comedy', 'Crime']
Prisoners[(16, 0.8989999890327454), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291), (3, 0.004999999888241291)]	['Crime', 'Drama', 'Mystery', 'Thriller']
The Prestige[(19, 0.7210000157356262), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873), (15, 0.014999999664723873)]	['Drama', 'Mystery', 'Sci-Fi', 'Thriller']
Terminator 2: Judgment Day[(13, 0.7680000066757202), (9, 0.13600000739097595), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291)]	['Action', 'Sci-Fi']
Harry Potter and the Deathly Hallows: Part 2[(9, 0.5019999742507935), (19, 0.1979999989271164), (18, 0.17900000512599945), (0, 0.007000000216066837), (1, 0.007000000216066837)]	['Adventure', 'Drama', 'Fantasy', 'Mystery']
Reservoir Dogs[(3, 0.8840000033378601), (0, 0.006000000052154064), (1, 0.006000000052154064), (2, 0.006000000052154064), (4, 0.006000000052154064)]	['Crime', 'Drama', 'Thriller']
The Terminator[(10, 0.9340000152587891), (5, 0.004000000189989805), (15, 0.004000000189989805), (0, 0.003000000026077032), (1, 0.003000000026077032)]	['Action', 'Sci-Fi']
Remember the Titans[(8, 0.6830000281333923), (19, 0.22100000083446503), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291)]	['Biography', 'Drama', 'Sport']
Harry Potter and the Goblet of Fire[(18, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Adventure', 'Family', 'Fantasy', 'Mystery']
Nightcrawler[(15, 0.7929999828338623), (4, 0.12300000339746475), (5, 0.004999999888241291), (9, 0.004999999888241291), (10, 0.004999999888241291)]	['Crime', 'Drama', 'Thriller']
Brokeback Mountain[(5, 0.7160000205039978), (8, 0.15600000321865082), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837)]	['Drama', 'Romance']
Moana[(16, 0.5329999923706055), (1, 0.2709999978542328), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355)]	['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']
American Beauty[(8, 0.4699999988079071), (16, 0.4020000100135803), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837)]	['Drama']
The Help[(15, 0.46000000834465027), (7, 0.23800000548362732), (6, 0.18000000715255737), (0, 0.007000000216066837), (1, 0.007000000216066837)]	['Drama']
The Thing[(10, 0.36800000071525574), (2, 0.367000013589859), (5, 0.014999999664723873), (9, 0.014999999664723873), (15, 0.014999999664723873)]	['Horror', 'Mystery', 'Sci-Fi']
300[(18, 0.8370000123977661), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Action', 'Drama', 'Fantasy', 'War']
The Godfather: Part II[(1, 0.9269999861717224), (0, 0.004000000189989805), (2, 0.004000000189989805), (4, 0.004000000189989805), (5, 0.004000000189989805)]	['Crime', 'Drama']
The Blues Brothers[(8, 0.48500001430511475), (10, 0.3140000104904175), (3, 0.12099999934434891), (4, 0.004999999888241291), (5, 0.004999999888241291)]	['Adventure', 'Comedy', 'Crime', 'Music', 'Musical']
The Grand Budapest Hotel[(4, 0.5460000038146973), (0, 0.3779999911785126), (1, 0.004000000189989805), (2, 0.004000000189989805), (3, 0.004000000189989805)]	['Adventure', 'Comedy', 'Crime', 'Drama']
Gifted[(11, 0.8370000123977661), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Drama']
Wonder[(8, 0.5120000243186951), (1, 0.42500001192092896), (5, 0.004000000189989805), (10, 0.004000000189989805), (15, 0.004000000189989805)]	['Drama', 'Family']
The Big Lebowski[(15, 0.5329999923706055), (16, 0.2709999978542328), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355)]	['Comedy', 'Crime']
Blade Runner[(3, 0.8640000224113464), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837), (4, 0.007000000216066837)]	['Sci-Fi', 'Thriller']
Full Metal Jacket[(4, 0.36800000071525574), (13, 0.367000013589859), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873)]	['Drama', 'War']
Ex Machina[(15, 0.722000002861023), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873), (0, 0.014000000432133675)]	['Drama', 'Mystery', 'Sci-Fi', 'Thriller']
Blue Is the Warmest Color[(15, 0.9200000166893005), (0, 0.004000000189989805), (1, 0.004000000189989805), (2, 0.004000000189989805), (3, 0.004000000189989805)]	['Drama', 'Romance']
Batman[(1, 0.3880000114440918), (8, 0.24699999392032623), (4, 0.1459999978542328), (12, 0.13300000131130219), (0, 0.004999999888241291)]	['Action', 'Adventure']
The Revenant[(11, 0.8370000123977661), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809), (15, 0.008999999612569809)]	['Action', 'Adventure', 'Biography', 'Drama', 'Western']
The Intouchables[(11, 0.7940000295639038), (4, 0.010999999940395355), (5, 0.010999999940395355), (9, 0.010999999940395355), (10, 0.010999999940395355)]	['Biography', 'Comedy', 'Drama']
The Good, the Bad and the Ugly[(11, 0.5180000066757202), (16, 0.3540000021457672), (0, 0.007000000216066837), (1, 0.007000000216066837), (2, 0.007000000216066837)]	['Western']
The Social Network[(19, 0.6290000081062317), (15, 0.2160000056028366), (5, 0.008999999612569809), (9, 0.008999999612569809), (10, 0.008999999612569809)]	['Biography', 'Drama']
Star Wars: Episode VII - The Force Awakens[(18, 0.9110000133514404), (4, 0.004999999888241291), (5, 0.004999999888241291), (9, 0.004999999888241291), (10, 0.004999999888241291)]	['Action', 'Adventure', 'Sci-Fi']
Black Swan[(18, 0.36800000071525574), (8, 0.367000013589859), (5, 0.014999999664723873), (9, 0.014999999664723873), (10, 0.014999999664723873)]	['Drama', 'Thriller']
